taxon_id,name,latin,order,family,weighted_records,province_count,base_rarity,range_bonus,iucn_category,iucn_bonus,iucn_trend,rarity_index
4541,虎头海雕,Haliaeetus pelagicus,鹰形目,鹰科,0.8,4,7.9532,2.2059,VU,0.35,Decreasing,9.66
4432,灰翅鸥,Larus glaucescens,鸻形目,鸥科,1.8,1,7.8825,2.4265,LC,0.0,Increasing,9.63
4442,中华凤头燕鸥,Thalasseus bernsteini,鸻形目,鸥科,11.5,8,7.4072,1.9118,CR,1.0,Decreasing,9.63
4831,东亚蝗莺,Helopsaltes pleskei,雀形目,蝗莺科,1.9,5,7.8744,2.1324,VU,0.175,Stable,9.61
4213,花田鸡,Coturnicops exquisitus,鹤形目,秧鸡科,1.9,9,7.8744,1.8382,VU,0.35,Decreasing,9.59
4231,白鹤,Leucogeranus leucogeranus,鹤形目,鹤科,0.8,19,7.9569,1.1029,CR,1.0,Decreasing,9.59
4319,海鸬鹚,Phalacrocorax pelagicus,鲣鸟目,鸬鹚科,0.4,6,7.9830,2.0588,LC,0.0,Unknown,9.59
4411,白顶玄燕鸥,Anous stolidus,鸻形目,鸥科,2.2,6,7.8492,2.0588,LC,0.0,Stable,9.57
4458,中贼鸥,Stercorarius pomarinus,鸻形目,贼鸥科,2.7,6,7.8180,2.0588,LC,0.0,Stable,9.56
4920,日本柳莺,Phylloscopus xanthodryas,雀形目,柳莺科,2.5,6,7.8352,2.0588,LC,0.0,Stable,9.56
4262,楔尾鹱,Ardenna pacifica,鹱形目,鹱科,1.5,8,7.9042,1.9118,LC,0.0,Decreasing,9.55
4311,黑腹军舰鸟,Fregata minor,鲣鸟目,军舰鸟科,8.1,3,7.5332,2.2794,LC,0.0,Decreasing,9.55
4394,灰瓣蹼鹬,Phalaropus fulicarius,鸻形目,鹬科,0.7,9,7.9641,1.8382,LC,0.0,Unknown,9.55
5179,粉红椋鸟,Pastor roseus,雀形目,椋鸟科,0.7,9,7.9677,1.8382,LC,0.0,Stable,9.55
4236,丹顶鹤,Grus japonensis,鹤形目,鹤科,3.5,12,7.7661,1.6176,VU,0.35,Decreasing,9.54
4086,丝绒海番鸭,Melanitta fusca,雁形目,鸭科,18.2,5,7.2114,2.1324,VU,0.35,Decreasing,9.53
4259,白额鹱,Calonectris leucomelas,鹱形目,鹱科,0.9,12,7.9458,1.6176,NT,0.15,Decreasing,9.53
4447,乌燕鸥,Onychoprion fuscatus,鸻形目,鸥科,3.6,8,7.7599,1.9118,LC,0.0,Unknown,9.53
4901,欧柳莺,Phylloscopus trochilus,雀形目,柳莺科,8.9,4,7.4986,2.2059,LC,0.0,Decreasing,9.53
4178,灰喉针尾雨燕,Hirundapus cochinchinensis,夜鹰目,雨燕科,3.5,9,7.7661,1.8382,LC,0.0,Decreasing,9.52
4288,栗头鳽,Gorsachius goisagi,鹈形目,鹭科,11.3,9,7.4116,1.8382,VU,0.35,Decreasing,9.52
4340,欧金鸻,Pluvialis apricaria,鸻形目,鸻科,9.3,5,7.4850,2.1324,LC,0.0,Stable,9.52
4347,白脸鸻,Charadrius dealbatus,鸻形目,鸻科,6.9,6,7.5856,2.0588,LC,0.0,Unknown,9.52
5394,林鹨,Anthus trivialis,雀形目,鹡鸰科,1.9,10,7.8744,1.7647,LC,0.0,Decreasing,9.52
4416,叉尾鸥,Xema sabini,鸻形目,鸥科,22.5,1,7.1117,2.4265,LC,0.0,Stable,9.51
5244,白腹暗蓝鹟,Cyanoptila cumatilis,雀形目,鹟科,1.3,14,7.9216,1.4706,NT,0.15,Decreasing,9.51
4228,紫水鸡,Porphyrio poliocephalus,鹤形目,秧鸡科,2.8,11,7.8113,1.6912,LC,0.0,Unknown,9.50
4456,长尾贼鸥,Stercorarius longicaudus,鸻形目,贼鸥科,3.8,10,7.7478,1.7647,LC,0.0,Stable,9.50
4792,中亚短趾百灵,Alaudala heinei,雀形目,百灵科,8.1,7,7.5332,1.9853,LC,0.0,Stable,9.50
5229,海南蓝仙鹟,Cyornis hainanus,雀形目,鹟科,0.9,13,7.9495,1.5441,LC,0.0,Decreasing,9.49
5451,红腹灰雀,Pyrrhula pyrrhula,雀形目,燕雀科,1.9,12,7.8744,1.6176,LC,0.0,Decreasing,9.49
4450,黑枕燕鸥,Sterna sumatrana,鸻形目,鸥科,7.2,9,7.5720,1.8382,LC,0.0,Unknown,9.41
4712,灰背伯劳,Lanius tephronotus,雀形目,伯劳科,0.6,15,7.9712,1.3971,LC,0.0,Stable,9.37
4128,大红鹳,Phoenicopterus roseus,红鹳目,红鹳科,1.8,14,7.8818,1.4706,LC,0.0,Increasing,9.35
4815,远东苇莺,Acrocephalus tangorum,雀形目,苇莺科,1.6,19,7.8974,1.1029,VU,0.35,Decreasing,9.35
4477,北领角鸮,Otus semitorques,鸮形目,鸱鸮科,0.6,16,7.9746,1.3235,LC,0.0,Decreasing,9.30
5287,琉球姬鹟,Ficedula owstoni,雀形目,鹟科,11.9,8,7.3921,1.9118,LC,0.0,Stable,9.30
4706,红背伯劳,Lanius collurio,雀形目,伯劳科,14.7,7,7.3054,1.9853,LC,0.0,Stable,9.29
5495,蓝鹀,Emberiza siemsseni,雀形目,鹀科,0.7,16,7.9641,1.3235,LC,0.0,Stable,9.29
5202,灰头鸫,Turdus rubrocanus,雀形目,鸫科,0.9,16,7.9458,1.3235,LC,0.0,Decreasing,9.27
5338,橙腹叶鹎,Chloropsis lazulina,雀形目,叶鹎科,0.9,16,7.9458,1.3235,LC,0.0,Decreasing,9.27
4939,短翅树莺,Horornis diphone,雀形目,树莺科,17.0,7,7.2421,1.9853,LC,0.0,Stable,9.23
4406,小青脚鹬,Tringa guttifer,鸻形目,鹬科,24.2,13,7.0760,1.5441,EN,0.6,Decreasing,9.22
4883,林柳莺,Phylloscopus sibilatrix,雀形目,柳莺科,20.6,6,7.1539,2.0588,LC,0.0,Decreasing,9.21
5175,紫背椋鸟,Agropsar philippensis,雀形目,椋鸟科,15.1,8,7.2948,1.9118,LC,0.0,Unknown,9.21
4449,粉红燕鸥,Sterna dougallii,鸻形目,鸥科,12.8,9,7.3645,1.8382,LC,0.0,Unknown,9.20
4457,短尾贼鸥,Stercorarius parasiticus,鸻形目,贼鸥科,10.8,10,7.4297,1.7647,LC,0.0,Stable,9.19
4445,白腰燕鸥,Onychoprion aleuticus,鸻形目,鸥科,25.2,10,7.0558,1.7647,VU,0.35,Decreasing,9.17
4200,八声杜鹃,Cacomantis merulinus,鹃形目,杜鹃科,2.6,16,7.8221,1.3235,LC,0.0,Stable,9.15
5503,日本灰头鹀,Emberiza personata,雀形目,鹀科,27.5,5,7.0116,2.1324,LC,0.0,Stable,9.14
4305,岩鹭,Egretta sacra,鹈形目,鹭科,15.2,9,7.2925,1.8382,LC,0.0,Stable,9.13
5358,叉尾太阳鸟,Aethopyga christinae,雀形目,花蜜鸟科,1.9,17,7.8744,1.2500,LC,0.0,Decreasing,9.12
4214,西秧鸡,Rallus aquaticus,鹤形目,秧鸡科,2.7,17,7.8187,1.2500,LC,0.0,Unknown,9.07
