Common Name,Scientific Name,Taxonomic Order
鸿雁,Anser cygnoides,281
短嘴豆雁,Anser serrirostris,306
黑天鹅,Cygnus atratus,379
小天鹅,Cygnus columbianus,384
鸳鸯,Aix galericulata,457
琵嘴鸭,Spatula clypeata,501
赤膀鸭,Mareca strepera,505
斑嘴鸭,Anas zonorhyncha,543
绿头鸭,Anas platyrhynchos,545
绿头鸭 (驯养型),Anas platyrhynchos (Domestic type),548
绿翅鸭,Anas crecca,612
凤头潜鸭,Aythya fuligula,687
原鸽 (野化家鸽),Columba livia (Feral Pigeon),1868
山斑鸠,Streptopelia orientalis,2022
珠颈斑鸠,Spilopelia chinensis,2064
斑姬地鸠,Geopelia striata,2232
四声杜鹃,Cuculus micropterus,3434
大杜鹃,Cuculus canorus,3442
黑水鸡,Gallinula chloropus,5462
白骨顶 (骨顶鸡),Fulica atra,5487
黑翅长脚鹬,Himantopus himantopus,5763
反嘴鹬,Recurvirostra avosetta,5777
金眶鸻,Thinornis dubius,5848
灰头麦鸡,Vanellus cinereus,5882
环颈鸻,Anarhynchus alexandrinus,5954
中杓鹬,Numenius phaeopus,6012
小杓鹬,Numenius minutus,6019
白腰杓鹬,Numenius arquata,6026
矶鹬,Actitis hypoleucos,6125
灰尾漂鹬,Tringa brevipes,6133
泽鹬,Tringa stagnatilis,6136
林鹬,Tringa glareola,6137
鹤鹬,Tringa erythropus,6150
青脚鹬,Tringa nebularia,6152
长趾滨鹬,Calidris subminuta,6185
黑腹滨鹬,Calidris alpina,6192
三趾鸥,Rissa tridactyla,6449
黑嘴鸥,Saundersilarus saundersi,6460
红嘴鸥,Chroicocephalus ridibundus,6474
普通海鸥,Larus canus,6513
蒙古银鸥,Larus mongolicus,6543
鸥嘴噪鸥,Gelochelidon nilotica,6710
普通燕鸥,Sterna hirundo,6748
小䴙䴘,Tachybaptus ruficollis,6827
凤头䴙䴘,Podiceps cristatus,6872
黑颈䴙䴘,Podiceps nigricollis,6876
黑喉潜鸟,Gavia arctica,6928
白斑军舰鸟,Fregata ariel,7318
普通鸬鹚,Phalacrocorax carbo,7397
白琵鹭,Platalea leucorodia,7524
黑脸琵鹭,Platalea minor,7530
黑鳽,Botaurus flavicollis,7574
夜鹭,Nycticorax nycticorax,7600
黄嘴白鹭,Egretta eulophotes,7644
白鹭,Egretta garzetta,7650
池鹭,Ardeola bacchus,7717
牛背鹭,Ardea coromanda,7726
大白鹭,Ardea alba,7729
中白鹭,Ardea intermedia,7737
苍鹭,Ardea cinerea,7745
草鹭,Ardea purpurea,7766
黑冠鹃隼,Aviceda leuphotes,7900
林雕,Ictinaetus malaiensis,8035
凤头鹰,Lophospiza trivirgata,8085
松雀鹰,Tachyspiza virgata,8135
赤腹鹰,Tachyspiza soloensis,8177
雀鹰,Accipiter nisus,8245
黑鸢,Milvus migrans,8345
领角鸮,Otus lettia,8690
戴胜,Upupa epops,9604
普通翠鸟,Alcedo atthis,9912
白胸翡翠,Halcyon smyrnensis,10076
三宝鸟,Eurystomus orientalis,10358
大拟啄木鸟,Psilopogon virens,10721
星头啄木鸟,Yungipicus canicapillus,11236
大斑啄木鸟,Dendrocopos major,11349
灰头绿啄木鸟,Picus canus,11655
白腿小隼,Microhierax melanoleucos,11982
红隼,Falco tinnunculus,11993
灰喉山椒鸟,Pericrocotus solaris,18587
赤红山椒鸟,Pericrocotus speciosus,18614
小灰山椒鸟,Pericrocotus cantonensis,18640
暗灰鹃鵙,Lalage melaschistos,18842
白腹凤鹛,Erpornis zantholeuca,19042
黑卷尾,Dicrurus macrocercus,20434
灰卷尾,Dicrurus leucophaeus,20442
发冠卷尾,Dicrurus hottentottus,20479
寿带,Terpsiphone incei,20726
虎纹伯劳,Lanius tigrinus,21041
红尾伯劳,Lanius cristatus,21054
棕背伯劳,Lanius schach,21069
松鸦,Garrulus glandarius,21339
灰喜鹊,Cyanopica cyanus,21391
红嘴蓝鹊,Urocissa erythroryncha,21408
灰树鹊,Dendrocitta formosae,21444
喜鹊,Pica serica,21466
大嘴乌鸦,Corvus macrorhynchos,21586
冕雀,Melanochlora sultanea,21944
欧亚大山雀,Parus major,22175
大山雀,Parus cinereus,22193
黄颊山雀,Machlolophus spilonotus,22225
纯色山鹪莺,Prinia inornata,23289
棕扇尾莺,Cisticola juncidis,23528
东方大苇莺,Acrocephalus orientalis,23712
家燕,Hirundo rustica,24187
金腰燕,Cecropis daurica,24239
栗背短脚鹎,Hemixos castanonotus,24522
绿翅短脚鹎,Ixos mcclellandii,24533
栗耳短脚鹎,Hypsipetes amaurotis,24569
黑短脚鹎,Hypsipetes leucocephalus,24591
领雀嘴鹎,Spizixos semitorques,24658
黄臀鹎,Pycnonotus xanthorrhous,24708
白头鹎,Pycnonotus sinensis,24711
红耳鹎,Pycnonotus jocosus,24733
黄腰柳莺,Phylloscopus proregulus,24811
淡脚柳莺,Phylloscopus tenellipes,24937
棕脸鹟莺,Abroscopus albogularis,25123
银喉长尾山雀,Aegithalos glaucogularis,25229
红头长尾山雀,Aegithalos concinnus,25235
棕头鸦雀,Suthora webbiana,25503
暗绿绣眼鸟,Zosterops simplex,25619
红头穗鹛,Cyanoderma ruficeps,25976
棕颈钩嘴鹛,Pomatorhinus ruficollis,26025
淡眉雀鹛,Alcippe hueti,26407
画眉,Garrulax canorus,26714
黑脸噪鹛,Pterorhinus perspicillatus,26805
黑领噪鹛,Pterorhinus pectoralis,26806
戴菊,Regulus regulus,26856
普通䴓,Sitta europaea,26966
黑领椋鸟,Gracupica nigricollis,27833
丝光椋鸟,Spodiopsar sericeus,27857
灰椋鸟,Spodiopsar cineraceus,27858
家八哥,Acridotheres tristis,27859
